name,start_date,end_date,location,category,link
Intensive Care Physiotherapy (Years 10-12),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Intensive-Care-Physiotherapy.aspx
Protecting the Dead: The Apis Bull in ancient Egypt,Wednesday 11th December 2019 (13:00-14:00,N/A,Arts 305,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/caha-object-1112.aspx
The Eye: Fact or Fiction (Years 11-13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-Eye-Fact-or-Fiction.aspx
Try a new language! (GCSE - Session 2) (Year 10 & 11),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Try-a-new-language-GCSE-2.aspx
Volcanic and Seismic Hazards at the Lapworth Museum of Geology (Years 11-13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Volcanic-and-Seismic-Hazards.aspx
Why should I look after my gums? (Year 12 & 13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Why-should-I-look-after-my-gums.aspx
Re/de-centering women and books in the Middle Ages,Wednesday 11th December 2019 (14:15-16:00,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma1112.aspx
STECA - Second Temple Early Career Academy,Wednesday 11th (09:00),Thursday 12th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/research/projects/ezras-legacy/steca.aspx
Ri Christmas Lecture Live Screening,Thursday 12th December 2019 (17:30-20:30,N/A,Bramall Music Building - Elgar Concert Hall (R12 on campus map),"Arts and Law, Arts and Science Festival, Corporate Services, Engineering and Physical Sciences, Life and Environmental Sciences, Medical and Dental Sciences, Research, Social Sciences, Students",https://www.birmingham.ac.uk/events/events/Ri-Christmas-Lecture-Live-Screening.aspx
Boxwood and Brass: A Georgian Country House Christmas,Friday 13th December 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-boxwood-brass.aspx
Birmingham University Singers at Tenbury Wells,Saturday 14th (18:30),Sunday 15th December 2019 (10:00),St Michael’s Church,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-music-birmingham-uni-singers.aspx
Philosophy Society Seminar Series,Wednesday 15th January 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1501.aspx
The Colonialism of Neoliberal Gentrification,Thursday 23rd January 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-munro.aspx
"Pots, People and the Past",Wednesday 29th January 2020 (13:00-14:00,N/A,Arts 305,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2020/caha-object-2901.aspx
Slavery in the West African Sahel — A Resilient Institution',Tuesday 4th February 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-rossi.aspx
Sestina,Wednesday 5th February 2020 (19:30-21:30,N/A,Barber Concert Hall,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-evening-sestina.aspx
The Vice-Chancellor's Distinguished Lecture Series – Dr Tristram Hunt,Tuesday 11th February 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlTristramHunt.aspx
The Hidden Life of Henry Reed,Wednesday 12th February 2020 (13:05-13:55,N/A,Cadbury Research Library - Chamberlain Seminar Room,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/lectures/The-Hidden-Life-of-Henry-Reed.aspx
Philosophy Society Seminar Series,Wednesday 12th February 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1202.aspx
Comment Is Free,Thursday 13th (19:30),Saturday 15th February 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/comment-is-free.aspx
Lost and Grief in the Roman World (the epitaph of Publius Aurarius Crescens),Wednesday 26th February 2020 (13:00-14:00,N/A,Arts 305,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2020/caha-object-2602.aspx
"Internationalism, peace and reconciliation: Anglo-German connections in the Youth Hostels movement 1930-1950",Friday 28th February 2020 (13:10-14:00,N/A,Cadbury Research Library Seminar Room,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/lectures/Internationalism-peace-and-reconciliation-Anglo-German-connections-in-the-Youth-Hostels-movement-1930-1950.aspx
Negotiation in Crisis — The Internal Wars of the Late Roman Republic,Tuesday 3rd March 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-cornwell.aspx
Philosophy Society Seminar Series,Wednesday 4th March 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc0403.aspx
Egyptian Servants – Shabti Figures from the Eton Myers Egyptian Collection,Wednesday 11th March 2020 (13:00-14:00,N/A,OLRC - Selly Oak,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2020/caha-object-1103.aspx
From Rejection to Reconciliation — Coming to Terms with the Image in Protestant England 1560-1640,Tuesday 17th March 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-hamling-willis.aspx
Animal Farm,Thursday 19th (19:30),Saturday 21st March 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/animal-farm.aspx
Philosophy Society Seminar Series,Wednesday 29th April 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2904.aspx
Beowulf on the Whale-Road: Reading a North Sea poem through Water-Philology,Wednesday 27th May 2020 (00:01-23:59,N/A,To be confirmed,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/cesma-annual-lecture.aspx
Philosophy Society Seminar Series,Wednesday 27th May 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2705.aspx
Ethics in a Global Environment: The Sixth Annual Conference of the Centre for the Study of Global Ethics,Thursday 28th (00:01),Friday 29th May 2020 (23:59),Edgbaston Campus,N/A,https://www.birmingham.ac.uk/research/activity/globalethics/events/2020/ethics-in-a-global-environment.aspx
The Vice-Chancellor's Distinguished Lecture Series – Baroness Hale,Tuesday 2nd June 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlBaronessHale.aspx
EPS Societies' Awards 2020,Wednesday 10th June 2020 (19:30-23:30,N/A,"Great Hall, Aston Webb Building (R6 on campus map)","Alumni, Engineering and Physical Sciences, Students",https://www.birmingham.ac.uk/university/colleges/eps/events/2020/eps-societies-awards-2020.aspx
The Third International Conference on Philosophy and Meaning in Life,Wednesday 17th (00:01),Friday 19th June 2020 (23:59),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philosophy-and-meaning-in-life.aspx
Undergraduate Open Day,Friday 26th June 2020 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Undergraduate Open Day,Saturday 27th June 2020 (09:00-16:00,N/A,N/A,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Immediate Effect,Thursday 27th (00:01),Saturday 29th August 2020 (23:59),Europe Hub - Brussels,N/A,https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/immediateeffect/index.aspx
Undergraduate Open Day,Saturday 12th September 2020 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Undergraduate Open Day,Saturday 17th October 2020 (09:00-16:00,N/A,University of Birmingham,Open Day,https://www.birmingham.ac.uk/undergraduate/visit/opendays/index.aspx
Comparing Peripheries. Galicia and Carinthia in Medieval Time,Tuesday 12th November 2019 (16:00-17:30,N/A,Arts G13,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-marina-beluso.aspx
Governing by writing: applying imperial calligraphy in Tang administration,Wednesday 13th November 2019 (14:15-16:00,N/A,Lecture Room 8 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma1311.aspx
Institutionalising citizenship in ancient Greece,Thursday 14th November 2019 (14:00-18:00,N/A,"Education Building, Room M35","Arts and Law, Lectures Talks and Workshops, Research, Students",https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2019/institutionalising.aspx
'Working with Shakespeare on stage and screen: Russell Jackson in conversation with Michael Dobson,Thursday 14th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts1411.aspx
The Crisis of Kingship in Late Medieval Islam: Persian Emigres and the Making of Ottoman Sovereignty,Thursday 14th November 2019 (15:00-17:00,N/A,muirhead 427,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/chris-markiewicz.aspx
George Orwell and 'The Ministry of Truth': Dorian Lynskey in Conversation,Thursday 14th November 2019 (18:00-19:30,N/A,Arts Building - Lecture Theatre 7,"Arts and Law, Lectures Talks and Workshops, Research",https://www.eventbrite.co.uk/e/george-orwell-and-the-ministry-of-truth-dorian-lynskey-in-conversation-tickets-76637331321
"Independence as Rupture, Continuity or Transition? Gendering Citizenship and Decolonising Justice in 1960s Ghana",Tuesday 19th November 2019 (16:00-17:30,N/A,Lecture Room 1 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-lecture-skinner.aspx
The poetics and politics of creation and translation,Wednesday 20th November 2019 (14:00-16:00,N/A,Muirhead 113,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/lcahm/departments/languages/events/2019/poetics-and-politics-of-creation-and-translation.aspx
Clean Air for All,Wednesday 20th November 2019 (18:00-21:00,N/A,"Birmingham B15 2TH, Lecture Theatre 3, Level 1 Queen Elizabeth Hospital, Mindelsohn Way","Lectures Talks and Workshops, Medical and Dental Sciences, Research",https://www.birmingham.ac.uk/university/colleges/mds/events/2019/11/suzanne-bartington-Clean-Air.aspx
'A pyramis of pity will I rear': Reworking Poetic Pity for Early Modern Drama,Thursday 21st November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts2111.aspx
Being Human Festival 2019: 21st Century Body Panel Discussion with Q&A,Thursday 21st November 2019 (18:30-21:00,N/A,Bramall Music Building - Elgar Concert Hall (R12 on campus map),"Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/events/events/being-human-festival-2019-21st-century-body-panel-discussion.aspx
Why are rare earth elements/magnets critical in a modern society?,Monday 25th November 2019 (17:30-18:30,N/A,GC17 - C Block Foyer of Metallurgy & Materials Building (G6),"Engineering and Physical Sciences, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/university/colleges/eps/events/inaugural-lecture/allan-walton-25-11-19-inaugural-lecture.aspx
A Train Station on the Left. The Making of a Socialist Public Sphere in Romania (1882-1914),Tuesday 26th November 2019 (16:00-17:30,N/A,Arts G13,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-anca-mandru.aspx
Breakfast Brainstorm - November 2019,Wednesday 27th November 2019 (09:00-11:00,N/A,Starbucks - Muirhead Tower,Research,https://www.birmingham.ac.uk/events/events/Breakfast-Brainstorm-November-2019.aspx
Missing numbers: macro regions and the political economic geography in first millenium CE Southeast Asia,Wednesday 27th November 2019 (14:15-16:00,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma2711.aspx
Philosophy Society Seminar Series,Wednesday 27th November 2019 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2019/philsoc2711.aspx
"""Sonic Revolutions"": Hegemony and Protest, 1737-1843",Thursday 28th November 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts2811.aspx
Birmingham History Day 2019,Saturday 30th November 2019 (10:00-16:30,N/A,Large Lecture Theatre - 1st Floor - Arts Building - University of Birmingham - B15 2TT,"Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/birmingham-history-day-2019.aspx
Postcolonial Commemorative Practices Surrounding Monument aux Morts — The Afterlives of Indo-French Colonial Connections around Puducherry's French War Memorial,Tuesday 3rd December 2019 (16:00-17:30,N/A,Lecture Room 1 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-lecture-jorgensen.aspx
Hair in the BBC's The Hollow Crown: the Wars of the Roses,Thursday 5th December 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts0512.aspx
Ezra's Legacy and the Dead Sea Scrolls conference,Sunday 8th (09:00),Tuesday 10th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
The silence about Ezra in the Dead Sea Scrolls: where do we go from here?,Monday 9th December 2019 (20:00-21:30,N/A,"B1 1BB, Birmingham, Birmingham City Council, The Chamberlain Room, Victoria Square, West Midlands","Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
The Retreat from Multilateralism and the Challenges of Global Economic Governance from an EU Perspective,Tuesday 10th December 2019 (14:00-15:00,N/A,Lecture Theatre 1 - Birmingham Law School,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/law/events/2019/iel-annual-lecture.aspx
"Beyond the Marxist and ""culturalist"" divide. Ideology and democracy in classical Athens",Tuesday 10th December 2019 (16:00-17:30,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-marteo-barbatto.aspx
Re/de-centering women and books in the Middle Ages,Wednesday 11th December 2019 (14:15-16:00,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma1112.aspx
STECA - Second Temple Early Career Academy,Wednesday 11th (09:00),Thursday 12th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/research/projects/ezras-legacy/steca.aspx
Ri Christmas Lecture Live Screening,Thursday 12th December 2019 (17:30-20:30,N/A,Bramall Music Building - Elgar Concert Hall (R12 on campus map),"Arts and Law, Arts and Science Festival, Corporate Services, Engineering and Physical Sciences, Life and Environmental Sciences, Medical and Dental Sciences, Research, Social Sciences, Students",https://www.birmingham.ac.uk/events/events/Ri-Christmas-Lecture-Live-Screening.aspx
Philosophy Society Seminar Series,Wednesday 15th January 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1501.aspx
The Colonialism of Neoliberal Gentrification,Thursday 23rd January 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-munro.aspx
Slavery in the West African Sahel — A Resilient Institution',Tuesday 4th February 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-rossi.aspx
Philosophy Society Seminar Series,Wednesday 12th February 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1202.aspx
Negotiation in Crisis — The Internal Wars of the Late Roman Republic,Tuesday 3rd March 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-cornwell.aspx
Philosophy Society Seminar Series,Wednesday 4th March 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc0403.aspx
From Rejection to Reconciliation — Coming to Terms with the Image in Protestant England 1560-1640,Tuesday 17th March 2020 (16:00-17:30,N/A,Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2020/brihc-lecture-hamling-willis.aspx
Philosophy Society Seminar Series,Wednesday 29th April 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2904.aspx
Beowulf on the Whale-Road: Reading a North Sea poem through Water-Philology,Wednesday 27th May 2020 (00:01-23:59,N/A,To be confirmed,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/cesma-annual-lecture.aspx
Philosophy Society Seminar Series,Wednesday 27th May 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2705.aspx
The Third International Conference on Philosophy and Meaning in Life,Wednesday 17th (00:01),Friday 19th June 2020 (23:59),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philosophy-and-meaning-in-life.aspx
